orgao,ano,mes,tem_lotacao,tem_cargo,tem_matricula,receita_base,despesas,outras_receitas,nao_requer_login,nao_requer_captcha,acesso,formato_consistente,estritamente_tabular,indice_completude,indice_facilidade,indice_transparencia
mppb,2019,3,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,1,0.7,0.8235294117647058
mppb,2019,4,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,1,0.7,0.8235294117647058
mppb,2019,5,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,1,0.7,0.8235294117647058
mppb,2019,6,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,1,0.7,0.8235294117647058
mppb,2019,7,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,1,0.7,0.8235294117647058
mppb,2019,8,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,1,0.7,0.8235294117647058
mppb,2019,9,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,1,0.7,0.8235294117647058
mppb,2019,10,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,1,0.7,0.8235294117647058
mppb,2019,11,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,1,0.7,0.8235294117647058
mppb,2019,12,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,1,0.7,0.8235294117647058
tjrr,2018,1,FALSE,FALSE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0.5,0.8,0.6153846153846154
mppb,2020,1,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,1,0.7,0.8235294117647058
tjpb,2020,1,FALSE,FALSE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0.5,0.8,0.6153846153846154
