orgao,categoria,campo,item,categoria_dj,incide_teto_segundo_cnj,incide_teto_segundo_dj
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,PECUNIA LICENCA EXER.ANT.",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,PECUNIA LICENCA EXER.ANT.,INSTRUTOR PÓS GRADUAÇÃO",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,PECUNIA LICENÇA VIGENTE",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,REPR. 5535/09 III, IV e V",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,REPR. 5535/09 III, IV e V,13º ABONO EC 41/03",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,REPR. 5535/09 III, IV e V,PECUNIA LICENCA EXER.ANT.",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,REPR. 5535/09 III, IV e V,PECUNIA LICENÇA VIGENTE",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,REPR.Lei 5535/09 VI e VII",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,REPR.Lei 5535/09 VI e VII,Ind Pla ResTJOE12/2015Ant",NA,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,REPR.Lei 5535/09 VI e VII,PECUNIA LICENCA EXER.ANT.",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,Ind Pla ResTJOE12/2015Ant,Benefício,S,NA
TJRJ,Direitos eventuais,Detalhe,Inden Plan ResTJOE12/2015,Benefício,S,NA
TJRJ,Direitos eventuais,Detalhe,"Inden Plan ResTJOE12/2015,Ind Pla ResTJOE12/2015Ant",Benefício,S,NA
TJRJ,Direitos eventuais,Detalhe,INSTRUTOR PÓS GRADUAÇÃO,Remuneração,N,Sim
TJRJ,Direitos eventuais,Detalhe,PECUNIA LICENCA EXER.ANT.,CONFIRMAR,S,NA
TJRJ,Direitos eventuais,Detalhe,"PECUNIA LICENCA EXER.ANT.,Ind Pla ResTJOE12/2015Ant",Opaco,S,NA
TJRJ,Direitos eventuais,Detalhe,"PECUNIA LICENCA EXER.ANT.,Inden Plan ResTJOE12/2015,Ind Pla ResTJOE12/2015Ant",Opaco,S,NA
TJRJ,Direitos eventuais,Detalhe,"PECUNIA LICENCA EXER.ANT.,INSTRUTOR PÓS GRADUAÇÃO",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"PECUNIA LICENCA EXER.ANT.,PECUNIA LICENÇA VIGENTE",Opaco,S,NA
TJRJ,Direitos eventuais,Detalhe,PECUNIA LICENÇA VIGENTE,CONFIRMAR,S,NA
TJRJ,Direitos eventuais,Detalhe,"REPR. 5535/09 III, IV e V",DECIDIR,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR. 5535/09 III, IV e V,13º ABONO EC 41/03",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR. 5535/09 III, IV e V,PECUNIA LICENCA EXER.ANT.",Opaco,NA,NA
